,minwool,co2data,pcmdata
0,18.0,0.0,-20.53
1,18.0,-0.0,-20.53
2,18.0,0.0,-20.52
3,18.0,0.05,-20.52
4,18.0,0.18,-20.51
5,18.0,0.43,-20.5
6,18.0,0.78,-20.49
7,18.0,1.2,-20.48
8,18.0,1.67,-20.46
9,18.0,2.16,-20.45
10,18.0,2.67,-20.44
11,18.0,3.19,-20.43
12,18.0,3.7,-20.42
13,18.0,4.21,-20.4
14,18.0,4.7,-20.39
15,18.0,5.19,-20.38
16,18.0,5.66,-20.36
17,18.0,6.11,-20.35
18,18.0,6.55,-20.33
19,18.0,6.98,-20.32
20,18.0,7.39,-20.3
21,18.0,7.78,-20.29
22,18.0,8.16,-20.27
23,18.0,8.53,-20.26
24,18.0,8.89,-20.24
25,18.0,9.23,-20.23
26,18.0,9.56,-20.21
27,18.0,9.87,-20.2
28,18.0,10.18,-20.18
29,18.0,10.47,-20.16
30,18.0,10.75,-20.15
31,18.0,11.02,-20.13
32,18.0,11.28,-20.12
33,18.0,11.54,-20.1
34,18.0,11.78,-20.08
35,18.0,12.01,-20.07
36,18.0,12.23,-20.05
37,18.0,12.45,-20.03
38,18.0,12.66,-20.02
39,18.0,12.86,-20.0
40,18.0,13.05,-19.98
41,18.0,13.24,-19.97
42,18.0,13.42,-19.95
43,18.0,13.59,-19.93
44,18.0,13.75,-19.92
45,18.0,13.91,-19.9
46,18.0,14.07,-19.88
47,18.0,14.21,-19.87
48,18.0,14.36,-19.85
49,18.0,14.49,-19.83
50,18.0,14.62,-19.82
51,18.0,14.75,-19.8
52,18.0,14.87,-19.78
53,18.01,14.99,-19.77
54,18.01,15.11,-19.75
55,18.01,15.21,-19.73
56,18.01,15.32,-19.72
57,18.01,15.42,-19.7
58,18.01,15.52,-19.68
59,18.01,15.61,-19.67
60,18.01,15.7,-19.65
61,18.01,15.79,-19.63
62,18.01,15.88,-19.62
63,18.02,15.96,-19.6
64,18.02,16.04,-19.58
65,18.02,16.11,-19.57
66,18.02,16.18,-19.55
67,18.02,16.25,-19.53
68,18.02,16.32,-19.52
69,18.03,16.39,-19.5
70,18.03,16.45,-19.48
71,18.03,16.51,-19.47
72,18.03,16.57,-19.45
73,18.03,16.63,-19.43
74,18.04,16.68,-19.42
75,18.04,16.73,-19.4
76,18.04,16.79,-19.38
77,18.04,16.83,-19.37
78,18.05,16.88,-19.35
79,18.05,16.93,-19.33
80,18.05,16.97,-19.32
81,18.05,17.02,-19.3
82,18.06,17.06,-19.28
83,18.06,17.1,-19.27
84,18.06,17.14,-19.25
85,18.07,17.17,-19.23
86,18.07,17.21,-19.22
87,18.07,17.25,-19.2
88,18.08,17.28,-19.19
89,18.08,17.31,-19.17
90,18.08,17.35,-19.15
91,18.09,17.38,-19.14
92,18.09,17.41,-19.12
93,18.09,17.44,-19.1
94,18.1,17.47,-19.09
95,18.1,17.49,-19.07
96,18.11,17.52,-19.06
97,18.11,17.55,-19.04
98,18.12,17.57,-19.02
99,18.12,17.6,-19.01
100,18.12,17.62,-18.99
101,18.13,17.64,-18.98
102,18.13,17.67,-18.96
103,18.14,17.69,-18.94
104,18.14,17.71,-18.93
105,18.15,17.73,-18.91
106,18.15,17.75,-18.89
107,18.16,17.77,-18.88
108,18.16,17.79,-18.86
109,18.17,17.81,-18.85
110,18.17,17.83,-18.83
111,18.18,17.85,-18.81
112,18.19,17.86,-18.8
113,18.19,17.88,-18.78
114,18.2,17.9,-18.77
115,18.2,17.92,-18.75
116,18.21,17.93,-18.73
117,18.21,17.95,-18.72
118,18.22,17.96,-18.7
119,18.23,17.98,-18.69
120,18.23,17.99,-18.67
121,18.24,18.01,-18.65
122,18.24,18.02,-18.64
123,18.25,18.04,-18.62
124,18.26,18.05,-18.61
125,18.26,18.07,-18.59
126,18.27,18.08,-18.57
127,18.28,18.09,-18.56
128,18.28,18.11,-18.54
129,18.29,18.12,-18.53
130,18.29,18.13,-18.51
131,18.3,18.15,-18.49
132,18.31,18.16,-18.48
133,18.31,18.17,-18.46
