,Distance Fraction,PCM Spv,co2 spv,minwool spv
0,0,-19.6496,15.66479071,18.01186513
1,0.052631579,-19.6493,15.67178812,18.01367037
2,0.105263158,-19.6484,15.69307552,18.01944634
3,0.157894737,-19.6469,15.72956553,18.03030114
4,0.210526316,-19.6447,15.78286583,18.04816794
5,0.263157895,-19.6418,15.85539622,18.07591835
6,0.315789474,-19.6382,15.95052577,18.11748838
7,0.368421053,-19.6336,16.07270212,18.17798403
8,0.421052632,-19.628,16.22753724,18.26372649
9,0.473684211,-19.6213,16.42180826,18.38219241
10,0.526315789,-19.6133,16.66333119,18.54180786
11,0.578947368,-19.6037,16.96067195,18.75156521
12,0.631578947,-19.5924,17.32267417,19.02045277
13,0.684210526,-19.5792,17.75780747,19.35671589
14,0.736842105,-19.5638,18.27337075,19.76700196
15,0.789473684,-19.5462,18.87461823,20.25547474
16,0.842105263,-19.5262,19.56390473,20.82300806
17,0.894736842,-19.5038,20.33996493,21.46657865
18,0.947368421,-19.4791,21.19744137,22.17896751
19,1,-19.4523,22.1267563,22.94884739
